2021-01-30,2021-01-01,2021-01-31,5.12%
2021-02-01,2021-02-01,2021-02-28,28.18%
2021-02-02,2021-02-01,2021-02-28,18.22%
2021-02-03,2021-02-01,2021-02-28,13.37%
2021-02-04,2021-02-01,2021-02-28,12.02%
2021-02-05,2021-02-01,2021-02-28,11.02%
2021-02-06,2021-02-01,2021-02-28,10.24%
2021-02-07,2021-02-01,2021-02-28,9.61%
2021-02-14,2021-02-01,2021-02-28,7.12%
2021-02-27,2021-02-01,2021-02-28,5.04%
2021-03-01,2021-03-01,2021-03-31,35.36%
2021-03-02,2021-03-01,2021-03-31,24.48%
2021-03-03,2021-03-01,2021-03-31,18.86%
2021-03-04,2021-03-01,2021-03-31,16.56%
2021-03-05,2021-03-01,2021-03-31,14.89%
2021-03-06,2021-03-01,2021-03-31,13.61%
2021-03-07,2021-03-01,2021-03-31,12.59%
2021-03-14,2021-03-01,2021-03-31,8.73%
2021-03-30,2021-03-01,2021-03-31,5.72%
2021-04-01,2021-04-01,2021-04-30,35.77%
2021-04-02,2021-04-01,2021-04-30,25.12%
2021-04-03,2021-04-01,2021-04-30,19.55%
2021-04-04,2021-04-01,2021-04-30,17.09%
2021-04-05,2021-04-01,2021-04-30,15.31%
2021-04-06,2021-04-01,2021-04-30,13.95%
2021-04-07,2021-04-01,2021-04-30,12.87%
2021-04-14,2021-04-01,2021-04-30,8.81%
2021-04-30,2021-04-01,2021-04-30,5.69%
2021-05-01,2021-05-01,2021-05-31,35.87%
2021-05-02,2021-05-01,2021-05-31,24.52%
2021-05-03,2021-05-01,2021-05-31,18.72%
2021-05-04,2021-05-01,2021-05-31,16.32%
2021-05-05,2021-05-01,2021-05-31,14.59%
2021-05-06,2021-05-01,2021-05-31,13.27%
2021-05-07,2021-05-01,2021-05-31,12.23%
2021-05-14,2021-05-01,2021-05-31,8.31%
2021-05-30,2021-05-01,2021-05-31,5.32%
2021-06-01,2021-06-01,2021-06-30,35.68%
2021-06-02,2021-06-01,2021-06-30,23.68%
2021-06-03,2021-06-01,2021-06-30,17.70%
2021-06-04,2021-06-01,2021-06-30,15.38%
2021-06-05,2021-06-01,2021-06-30,13.72%
2021-06-06,2021-06-01,2021-06-30,12.46%
2021-06-07,2021-06-01,2021-06-30,11.45%
2021-06-14,2021-06-01,2021-06-30,7.72%
2021-06-30,2021-06-01,2021-06-30,4.90%
2021-07-01,2021-07-01,2021-07-31,31.44%
2021-07-02,2021-07-01,2021-07-31,22.53%
2021-07-03,2021-07-01,2021-07-31,17.79%
2021-07-04,2021-07-01,2021-07-31,15.80%
2021-07-05,2021-07-01,2021-07-31,14.33%
2021-07-06,2021-07-01,2021-07-31,13.21%
2021-07-07,2021-07-01,2021-07-31,12.30%
2021-07-14,2021-07-01,2021-07-31,8.80%
2021-07-30,2021-07-01,2021-07-31,5.98%
2021-08-01,2021-08-01,2021-08-31,29.65%
2021-08-02,2021-08-01,2021-08-31,19.92%
2021-08-03,2021-08-01,2021-08-31,15.02%
2021-08-04,2021-08-01,2021-08-31,13.49%
2021-08-05,2021-08-01,2021-08-31,12.36%
2021-08-06,2021-08-01,2021-08-31,11.48%
2021-08-07,2021-08-01,2021-08-31,10.77%
2021-08-14,2021-08-01,2021-08-31,7.96%
2021-08-30,2021-08-01,2021-08-31,5.62%
2021-09-01,2021-09-01,2021-09-30,29.09%
2021-09-02,2021-09-01,2021-09-30,18.85%
2021-09-03,2021-09-01,2021-09-30,13.85%
2021-09-04,2021-09-01,2021-09-30,12.46%
2021-09-05,2021-09-01,2021-09-30,11.42%
2021-09-06,2021-09-01,2021-09-30,10.62%
2021-09-07,2021-09-01,2021-09-30,9.96%
2021-09-14,2021-09-01,2021-09-30,7.39%
2021-09-30,2021-09-01,2021-09-30,5.23%
2021-10-01,2021-10-01,2021-10-31,29.46%
2021-10-02,2021-10-01,2021-10-31,19.70%
2021-10-03,2021-10-01,2021-10-31,14.80%
2021-10-04,2021-10-01,2021-10-31,13.58%
2021-10-05,2021-10-01,2021-10-31,12.65%
2021-10-06,2021-10-01,2021-10-31,11.92%
2021-10-07,2021-10-01,2021-10-31,11.32%
2021-10-14,2021-10-01,2021-10-31,8.88%
2021-10-30,2021-10-01,2021-10-31,6.71%
2021-11-01,2021-11-01,2021-11-30,27.39%
2021-11-02,2021-11-01,2021-11-30,18.64%
2021-11-03,2021-11-01,2021-11-30,14.19%
2021-11-04,2021-11-01,2021-11-30,13.11%
2021-11-05,2021-11-01,2021-11-30,12.29%
2021-11-06,2021-11-01,2021-11-30,11.63%
2021-11-07,2021-11-01,2021-11-30,11.10%
2021-11-14,2021-11-01,2021-11-30,8.88%
2021-11-30,2021-11-01,2021-11-30,6.86%
2021-12-01,2021-12-01,2021-12-31,27.29%
2021-12-02,2021-12-01,2021-12-31,18.40%
2021-12-03,2021-12-01,2021-12-31,13.92%
2021-12-04,2021-12-01,2021-12-31,12.83%
2021-12-05,2021-12-01,2021-12-31,12.01%
2021-12-06,2021-12-01,2021-12-31,11.35%
2021-12-07,2021-12-01,2021-12-31,10.81%
2021-12-14,2021-12-01,2021-12-31,8.60%
2021-12-30,2021-12-01,2021-12-31,6.61%
