2021-10-30,2021-10-01,2021-10-31,9.11%
2021-11-01,2021-11-01,2021-11-30,29.55%
2021-11-02,2021-11-01,2021-11-30,20.20%
2021-11-03,2021-11-01,2021-11-30,15.42%
2021-11-04,2021-11-01,2021-11-30,14.58%
2021-11-05,2021-11-01,2021-11-30,13.93%
2021-11-06,2021-11-01,2021-11-30,13.40%
2021-11-07,2021-11-01,2021-11-30,12.95%
2021-11-14,2021-11-01,2021-11-30,11.06%
2021-11-30,2021-11-01,2021-11-30,9.22%
2021-12-01,2021-12-01,2021-12-31,30.52%
2021-12-02,2021-12-01,2021-12-31,20.70%
2021-12-03,2021-12-01,2021-12-31,15.72%
2021-12-04,2021-12-01,2021-12-31,14.78%
2021-12-05,2021-12-01,2021-12-31,14.05%
2021-12-06,2021-12-01,2021-12-31,13.46%
2021-12-07,2021-12-01,2021-12-31,12.97%
2021-12-14,2021-12-01,2021-12-31,10.90%
2021-12-30,2021-12-01,2021-12-31,8.91%
