2020-12-30,2020-12-01,2020-12-31,7.56%
2021-01-01,2021-01-01,2021-01-31,27.05%
2021-01-02,2021-01-01,2021-01-31,18.93%
2021-01-03,2021-01-01,2021-01-31,14.70%
2021-01-04,2021-01-01,2021-01-31,13.63%
2021-01-05,2021-01-01,2021-01-31,12.81%
2021-01-06,2021-01-01,2021-01-31,12.15%
2021-01-07,2021-01-01,2021-01-31,11.61%
2021-01-14,2021-01-01,2021-01-31,9.38%
2021-01-30,2021-01-01,2021-01-31,7.33%
2021-02-01,2021-02-01,2021-02-28,30.57%
2021-02-02,2021-02-01,2021-02-28,20.11%
2021-02-03,2021-02-01,2021-02-28,14.94%
2021-02-04,2021-02-01,2021-02-28,13.82%
2021-02-05,2021-02-01,2021-02-28,12.97%
2021-02-06,2021-02-01,2021-02-28,12.29%
2021-02-07,2021-02-01,2021-02-28,11.73%
2021-02-14,2021-02-01,2021-02-28,9.42%
2021-02-27,2021-02-01,2021-02-28,7.31%
2021-03-01,2021-03-01,2021-03-31,30.77%
2021-03-02,2021-03-01,2021-03-31,21.19%
2021-03-03,2021-03-01,2021-03-31,16.27%
2021-03-04,2021-03-01,2021-03-31,15.05%
2021-03-05,2021-03-01,2021-03-31,14.12%
2021-03-06,2021-03-01,2021-03-31,13.38%
2021-03-07,2021-03-01,2021-03-31,12.77%
2021-03-14,2021-03-01,2021-03-31,10.26%
2021-03-30,2021-03-01,2021-03-31,7.96%
2021-04-01,2021-04-01,2021-04-30,33.20%
2021-04-02,2021-04-01,2021-04-30,23.41%
2021-04-03,2021-04-01,2021-04-30,18.27%
2021-04-04,2021-04-01,2021-04-30,16.89%
2021-04-05,2021-04-01,2021-04-30,15.85%
2021-04-06,2021-04-01,2021-04-30,15.02%
2021-04-07,2021-04-01,2021-04-30,14.33%
2021-04-14,2021-04-01,2021-04-30,11.50%
2021-04-30,2021-04-01,2021-04-30,8.92%
2021-05-01,2021-05-01,2021-05-31,33.18%
2021-05-02,2021-05-01,2021-05-31,22.81%
2021-05-03,2021-05-01,2021-05-31,17.48%
2021-05-04,2021-05-01,2021-05-31,15.98%
2021-05-05,2021-05-01,2021-05-31,14.84%
2021-05-06,2021-05-01,2021-05-31,13.95%
2021-05-07,2021-05-01,2021-05-31,13.21%
2021-05-14,2021-05-01,2021-05-31,10.25%
2021-05-30,2021-05-01,2021-05-31,7.64%
2021-06-01,2021-06-01,2021-06-30,31.28%
2021-06-02,2021-06-01,2021-06-30,21.32%
2021-06-03,2021-06-01,2021-06-30,16.25%
2021-06-04,2021-06-01,2021-06-30,15.01%
2021-06-05,2021-06-01,2021-06-30,14.06%
2021-06-06,2021-06-01,2021-06-30,13.31%
2021-06-07,2021-06-01,2021-06-30,12.69%
2021-06-14,2021-06-01,2021-06-30,10.14%
2021-06-30,2021-06-01,2021-06-30,7.83%
2021-07-01,2021-07-01,2021-07-31,30.43%
2021-07-02,2021-07-01,2021-07-31,20.20%
2021-07-03,2021-07-01,2021-07-31,15.10%
2021-07-04,2021-07-01,2021-07-31,14.10%
2021-07-05,2021-07-01,2021-07-31,13.33%
2021-07-06,2021-07-01,2021-07-31,12.71%
2021-07-07,2021-07-01,2021-07-31,12.20%
2021-07-14,2021-07-01,2021-07-31,10.06%
2021-07-30,2021-07-01,2021-07-31,8.05%
2021-08-01,2021-08-01,2021-08-31,30.12%
2021-08-02,2021-08-01,2021-08-31,19.77%
2021-08-03,2021-08-01,2021-08-31,14.67%
2021-08-04,2021-08-01,2021-08-31,13.81%
2021-08-05,2021-08-01,2021-08-31,13.14%
2021-08-06,2021-08-01,2021-08-31,12.60%
2021-08-07,2021-08-01,2021-08-31,12.15%
2021-08-14,2021-08-01,2021-08-31,10.25%
2021-08-30,2021-08-01,2021-08-31,8.42%
2021-09-01,2021-09-01,2021-09-30,31.04%
2021-09-02,2021-09-01,2021-09-30,21.35%
2021-09-03,2021-09-01,2021-09-30,16.36%
2021-09-04,2021-09-01,2021-09-30,15.51%
2021-09-05,2021-09-01,2021-09-30,14.84%
2021-09-06,2021-09-01,2021-09-30,14.30%
2021-09-07,2021-09-01,2021-09-30,13.85%
2021-09-14,2021-09-01,2021-09-30,11.91%
2021-09-30,2021-09-01,2021-09-30,10.00%
2021-10-01,2021-10-01,2021-10-31,31.51%
2021-10-02,2021-10-01,2021-10-31,21.80%
2021-10-03,2021-10-01,2021-10-31,16.79%
2021-10-04,2021-10-01,2021-10-31,16.10%
2021-10-05,2021-10-01,2021-10-31,15.55%
2021-10-06,2021-10-01,2021-10-31,15.11%
2021-10-07,2021-10-01,2021-10-31,14.73%
2021-10-14,2021-10-01,2021-10-31,13.09%
2021-10-30,2021-10-01,2021-10-31,11.42%
2021-11-01,2021-11-01,2021-11-30,34.18%
2021-11-02,2021-11-01,2021-11-30,23.84%
2021-11-03,2021-11-01,2021-11-30,18.46%
2021-11-04,2021-11-01,2021-11-30,17.48%
2021-11-05,2021-11-01,2021-11-30,16.71%
2021-11-06,2021-11-01,2021-11-30,16.09%
2021-11-07,2021-11-01,2021-11-30,15.57%
2021-11-14,2021-11-01,2021-11-30,13.35%
2021-11-30,2021-11-01,2021-11-30,11.17%
2021-12-01,2021-12-01,2021-12-31,36.95%
2021-12-02,2021-12-01,2021-12-31,25.73%
2021-12-03,2021-12-01,2021-12-31,19.90%
2021-12-04,2021-12-01,2021-12-31,18.55%
2021-12-05,2021-12-01,2021-12-31,17.52%
2021-12-06,2021-12-01,2021-12-31,16.69%
2021-12-07,2021-12-01,2021-12-31,16.01%
2021-12-14,2021-12-01,2021-12-31,13.14%
2021-12-30,2021-12-01,2021-12-31,10.46%
